State Suburbs by Family Composition (FMCF) and Total Family Income (weekly) (FINF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Counting: Families, Place of Usual Residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Composition (FMCF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Family Income (weekly) (FINF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Family type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthurton,0,0,0,0,0,7,3,3,0,4,8,12,0,0,0,0,0,4,0,0,0,0,0,0,0,3,6,9,8,7,11,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,9,9,12,15,23,6,0,0,0,0,12,0
Ascot Park,0,3,6,5,0,45,40,34,29,28,48,39,24,13,5,4,0,16,3,0,3,8,7,4,9,12,17,26,23,45,40,22,8,3,0,0,24,0,0,0,0,3,9,22,20,3,17,20,11,4,0,6,0,0,0,11,5,0,11,0,0,4,0,6,3,3,4,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,15,17,76,78,57,75,75,112,86,46,27,8,4,0,51,8
Ashbourne (SA),0,0,0,0,0,4,0,7,5,3,4,4,0,3,0,0,0,3,3,0,0,4,0,0,0,3,3,3,3,9,7,5,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,3,10,8,6,13,11,5,3,0,0,0,10,3
Ashford (SA),0,0,9,0,0,5,14,12,9,12,9,16,7,4,0,0,0,5,3,0,0,0,0,0,6,0,0,11,5,9,5,5,5,0,3,0,8,0,0,0,0,0,6,6,5,4,5,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,17,19,16,25,17,25,21,12,9,0,3,0,13,8
Ashton,0,0,0,0,0,3,4,6,7,7,5,8,5,4,3,0,0,3,0,0,0,0,0,0,3,4,6,0,0,8,14,12,9,3,0,6,4,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,12,10,12,13,22,17,13,6,0,6,11,0
Athelstone,0,13,21,0,7,132,104,135,65,76,101,109,67,40,11,17,10,48,20,6,0,0,0,7,16,42,51,102,106,238,221,182,138,39,53,27,168,13,8,8,7,7,11,37,42,46,29,28,35,22,14,8,0,0,3,31,0,0,0,0,0,0,0,3,0,3,4,0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,28,7,25,185,191,232,199,214,374,358,263,192,50,70,40,253,33
Athol Park,0,0,3,0,0,22,10,10,9,14,19,8,6,0,0,0,0,0,0,0,0,4,0,0,13,22,10,22,30,37,15,8,7,0,0,0,24,0,0,0,0,6,16,20,18,17,9,5,0,0,4,0,0,0,0,12,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,16,55,58,37,40,49,56,23,18,7,0,0,0,36,7
Auburn (SA),0,0,0,0,0,12,11,14,7,7,11,8,5,3,5,0,0,5,0,0,0,0,0,0,7,0,3,5,0,15,4,6,3,0,0,0,6,4,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,23,12,7,26,12,11,6,5,0,0,11,4
Auldana,0,0,0,0,0,0,6,7,8,6,10,5,9,6,4,0,0,0,6,0,0,0,0,0,0,0,3,6,6,11,10,7,17,6,6,12,14,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,14,12,21,24,16,23,10,6,12,23,6
Balaklava,6,0,7,0,0,51,35,30,17,13,25,22,6,13,0,0,0,11,7,0,0,0,0,0,5,5,13,20,19,31,22,12,8,0,0,0,18,5,0,0,4,5,7,20,15,8,12,3,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,5,7,76,55,51,49,35,59,44,18,21,0,0,0,37,12
